G, G, G, G, G, G, G, 2, G, 2, G, 1, 1, G, G, G, 1, 2, 2, 1
G, 1, 1, 1, G, G, G, 2, G, 2, 1, G, 1, G, G, G, 1, G, G, 1
G, 1, G, 1, G, 1, 1, 2, 1, 1, 2, 2, 2, G, G, 1, 3, 4, 3, 1
G, 1, 1, 1, G, 1, G, 2, 1, 2, 3, G, G, G, G, 1, G, G, 1, G
1, 1, G, 1, 1, 2, 1, 2, G, 3, G, G, G, 1, 1, 2, 2, 2, 1, G
G, 2, 2, 3, G, 3, 1, 1, 1, G, G, 4, 3, 4, G, 3, 1, 1, G, G
2, G, 2, G, G, G, 2, 1, 1, 1, 1, 2, G, G, G, G, G, 1, G, G
G, 1, 2, 2, 4, G, 4, G, 2, G, G, 1, 3, 4, G, G, 4, 3, 1, G
1, 1, 1, 1, 2, G, 4, G, 3, G, G, 1, 2, G, G, 3, G, G, 2, 1
2, G, 2, 1, G, 2, 3, G, 3, 1, G, 1, G, 3, 2, 2, G, 5, G, 2
3, G, 3, 2, 2, 1, 2, G, G, 1, G, 2, 3, G, 1, 1, 1, 3, G, G
G, 4, 3, G, 2, 1, 1, G, 2, 2, 3, G, 3, G, 1, G, G, 2, 3, 3
G, G, 3, 3, G, 1, 1, 2, 2, 2, G, G, 2, G, G, 1, 1, 2, G, G
G, 2, 2, G, 2, 1, 1, 2, G, 2, G, 3, 2, G, G, 1, G, 2, 2, 2
G, G, G, 3, 4, 2, G, G, 2, 1, 2, G, 3, 1, G, 1, 2, 3, 3, 2
1, 1, 2, G, G, G, 3, 1, 2, 1, 3, G, G, 1, G, 1, 2, G, G, G
1, G, 3, 4, 6, G, 3, G, 1, G, 2, 2, 2, 1, G, 1, G, 3, 3, 2
1, 2, G, G, G, G, 2, G, G, 1, 2, 1, 1, G, G, 1, 1, 1, G, G
1, 2, 2, G, 2, 2, 1, G, G, G, 1, G, 2, 1, G, 1, 2, 3, G, 1
1, G, 1, G, G, G, G, G, G, G, G, 2, G, 1, G, 1, G, G, G, 1
